user_id,name,popularity,identifier
57377331,Seoul,0.89,eyJpZCI6Ik9OVEI0RVVINDU2RkdMQUpDTzdSM1k2VEFVTFBESSIsInciOjk2MywiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NTMwOTE2OTgzNDI5MzgyNjcwMX0
57377331,Seoul,0.89,eyJpZCI6IlBRWEdNTTRRQ1BWUzVTQkc0TlhOWEZOR0dLNTJMQSIsInciOjk3MCwiaCI6OTYxLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MzExOTA2ODY2OTI2MTYwODYxOH0
109090084,Seoul,0.89,eyJpZCI6Ik5LT1dZRVRGU0FKUjZFNE4yVzdENkZWTUtLSFlPTyIsInciOjEyMzksImgiOjg4NSwiZCI6MCwibXQiOiJpbWFnZS9qcGVnIiwiZGgiOjc4MTQ5OTYyMDY1NjYyNTA1MzJ9
17511617,Seoul,0.89,eyJpZCI6IjRHNDY1NjIyVlFDR0tJSTVWNENITFlTR09DTFhaVSIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTMyNDM4Njk1NzQ3MDEwODU3MzJ9
17511617,Seoul,0.89,eyJpZCI6IjROTENCMlVPVVZNWjVGQk4zSEU2QU5KTDJLQk9ENSIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTQ4MTE3NTQwNzg5MDExNzU5NDh9
17511617,Seoul,0.89,eyJpZCI6IjJBQkczWEczQUdCSUhFNjJHUUZCVEZGSkI1WlZESSIsInciOjk2MCwiaCI6OTYzLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTA0NjQxNzI1MzA4NDEzNjE5NjR9
17511617,Seoul,0.89,eyJpZCI6IktOT1dGUlY0R0pCRENMVFoyN0RRVUo0SDdQQUFGVSIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NjEzNTI2MzAzNDg3NTM2OTYzM30
17511617,Seoul,0.89,eyJpZCI6IlZXVENYVU1WNTdNT1BDUlRSUVEyNVVFREIyTkRSSCIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NzAxNjk3ODk2ODAxNzcxMTM2NX0
17511617,Seoul,0.89,eyJpZCI6IkJVNjVGRU1ETEpJTk4yTkxRSExKRlkzU0gyVFkzVCIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTIwNjIzNjk3NjAyOTU3MjI1NDF9
2632926,Seoul,0.89,eyJpZCI6IlY2V1hXV1JFQ09QQllMNDRKTVRHMkdFVDdUQVNJUSIsInciOjc0NiwiaCI6NTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTQyMjUxMzk2NjUyMTc4NzI5Mzh9
2632926,Seoul,0.89,eyJpZCI6IkoyNFFGT0lCSlg2NTY2M0NWS1lGTjdWUkJERlZSQyIsInciOjc0OCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NzU5NTIyNzE5MDY0Mjk3NzQ0NH0
2632926,Seoul,0.89,eyJpZCI6IllPVzRVQzNJRlJTT1BDM09WRzRCUEMzWFMySTRDUCIsInciOjc0OCwiaCI6NjUyLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTIwNTQ1NDIyOTQ1NjE2MDA1MzR9
2632926,Seoul,0.89,eyJpZCI6IkJCSkRYVzJHNUY2M1JFRlpDVFlYMk9UTzJLVlkzTSIsInciOjc0OCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NzkwNDYwNjE1NDA1MzA5MDc4Mn0
5826934,Seoul,0.89,eyJpZCI6IlI3TEwzUlNFSVhQQkhYVURGWVpIQk9MS1lIVk9DVSIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MjEzNDM2MjcyMTIxMTg5NDE2NH0
5826934,Seoul,0.89,eyJpZCI6Ik0yM1NDWjJKU0hZNUo2TFBLU1dKNkZFRldMTU41UCIsInciOjExNDEsImgiOjExNDEsImQiOjAsIm10IjoiaW1hZ2UvanBlZyIsImRoIjo5OTY5NjU4NzI3NDI3MTUyMTczfQ
86065285,Seoul,0.89,eyJpZCI6IkFFUjQyVlBJVU1CVjJIWlBIN0g1VlEyNUlFQUE0NyIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTQyMzYwMDQxNTM3NzQ0Nzg3ODl9
11721807,Seoul,0.89,eyJpZCI6IjU2Qlg2S0hERVpCQ1FNTUJEVkRMRFFXMktPUlQ0NyIsInciOjc0OCwiaCI6NzQ4LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTQyNTQ5MTUwNTE0MTQ1MTQwOTR9
11721807,Seoul,0.89,eyJpZCI6IksyTVhDVlFIUzJTRFFRWVVWVVFGNjVQTEZNRVJVQiIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTcxMDcwNTc2MzkyNzg4OTI0NTh9
11721807,Seoul,0.89,eyJpZCI6IjJRTUtEV0ZPNFFMQVhJQkRGTlNFUldHVkRNQU40QiIsInciOjc1MCwiaCI6NzQ2LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTI1ODk2NTc5ODY2OTAzNDI2MzB9
11721807,Seoul,0.89,eyJpZCI6IjJaQVFLWktTMldPWUtYRks2Wk1ZT0RDMlVWNjVMRiIsInciOjc0OCwiaCI6NzQ4LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NjkxMDc1MzY0NTQ1ODk3NDYzMX0
11721807,Seoul,0.89,eyJpZCI6IkVLMk0yNUZZWFNHUkRXNkZONDRNNVBYWldJQVoyWiIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MzI5MTE1MjEyMzczOTQ2ODA2Nn0
11721807,Seoul,0.89,eyJpZCI6IjNYTlJCUFBJNkZPRE82TllITEtNVkFGTjQ0TjRGNiIsInciOjc0OCwiaCI6NzQ4LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6Nzg0MTU2MTczODYyMTgwNzc5N30
7581045,Seoul,0.89,eyJpZCI6Ik9TNkZRV1FJQkFNQUczSlZLUDJPWFRRQUVWQkNaRCIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MzY1MzAyODgxMDkwNjA4NTA2NX0
7581045,Seoul,0.89,eyJpZCI6IlBZQkZEWkJPNVdYUzZDQ0NHNElWR0s3M1FQQ1M0VCIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTc3Njk2NzIzMTU3MDY3MjYxMjJ9
7581045,Seoul,0.89,eyJpZCI6IkFXQVJDNUpCNDdKTjdTSEhOWlFBN1U0T1pBU1pYQSIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTI1ODYwMjQxNzQ4ODc3OTkzNzN9
7581045,Seoul,0.89,eyJpZCI6IkFXV1A3RUsyM080VktBSlE0N0ZLVzJUR01FTUNDQiIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTIzMDg4MDA0OTc4OTY0Nzc4NDZ9
7581045,Seoul,0.89,eyJpZCI6IlNaVzdFRTRJNUFFSjI2QkhQQlNCTFBQRzJaVFZKMiIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTIxNTYwMDExOTY0MDMyNTQ1MDZ9
7581045,Seoul,0.89,eyJpZCI6IlgzTkdOSkVVR0o1TVFEUUI0RlBETTM2WTdMSzJNSCIsInciOjk2MCwiaCI6OTYzLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NjUzNjUwMjc2NjA5NzAzNDU4NX0
7474405,Seoul,0.89,eyJpZCI6IjdJNjNEQU5KT0EyV1VNRVBRNkxZNEVNTklONVZBNSIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTE3NzU0MTIwMTUxNDQ5MTEzODh9
7474405,Seoul,0.89,eyJpZCI6IlROSFFYMzNCU1pWN1hXNVZKMzZIU1cyN1RZWTJMWCIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NTM1MjIzMzcxNDc3NzE3NjU5Nn0
7474405,Seoul,0.89,eyJpZCI6IkpVUjY3UERCRTNPWkdLQlBFUU02RVlTS1lTMk1XRyIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6OTAzMjE1NjMxNzQ0MzY1MjI0fQ
7474405,Seoul,0.89,eyJpZCI6IkhETE1PUzZWRjNJNUxCR0VOVEMzNUtaM1VPSVQzUSIsInciOjc0OCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NzY3NzY3NDU3MTE5NDI5MTM4NX0
7474405,Seoul,0.89,eyJpZCI6IlFSUkxJTU5TQ1NOVVVMRjdRNVNQWllLWDRGVFRBVyIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NzQ3MDQ1ODQyMDQ1MTIyMzE5MX0
7474405,Seoul,0.89,eyJpZCI6IktBWkhDTlBIUDZaS1JMM0JCSDRKV0ZYWEw3MkQ0RCIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTEyMzA1NTEwNjI1NjQxNzk5MjV9
59462217,Seoul,0.89,eyJpZCI6IlQ2SFRYSEpaTDc0T09aRUhVRDNBQkNHR0tGV1RFWCIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTEwMTI4NzkzNDQ4OTIyNjc3OTd9
12672918,Seoul,0.89,eyJpZCI6IlRGNDdOVUc0Rlg1U1ZVTDNMVjI0VDI1TUlFR1FINyIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTIyMjU3ODM0NTkwNTI0Mjk4Nzl9
12672918,Seoul,0.89,eyJpZCI6IlhHVUtZTUhCUVNMNTNNU05SQjdaNjU1VVVKWkw2TiIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6Mjc5NTI3OTExOTg0Njk4NDAxN30
12672918,Seoul,0.89,eyJpZCI6IkpTSENNUk8zWU83QjdBNFNRUkNQQ1VHMk9KM1Y0UiIsInciOjYzOCwiaCI6NjM4LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NDE5NDg4Mzc4OTA3ODY5ODU3OH0
12672918,Seoul,0.89,eyJpZCI6IkRJMzVCSU1aSzU0VDQ1Sk9ORVdPTUlTSVgyUVBTTSIsInciOjEyMzksImgiOjkyNywiZCI6MCwibXQiOiJpbWFnZS9qcGVnIiwiZGgiOjE1NjIzNzY3NDQ2MjgyMzA1MDE5fQ
12672918,Seoul,0.89,eyJpZCI6IkQ0RzVYUklWTU41UVlSSFJRQzVERk9RNVBYNkJKNCIsInciOjk2MCwiaCI6OTYwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6ODQ4MTk0NDY0MjEzNTg1NjgxMn0
61321504,Seoul,0.89,eyJpZCI6IkZGSFYyS05NM0hVTFhRNlBVRTdGTkkzSFVZWElSWSIsInciOjc0OCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTIwMDk5NTI3NDY4MTA5MzUyMn0
61321504,Seoul,0.89,eyJpZCI6IlBVNURWRTRFU1RMUUFJQ0ZDRDNLNURZQ1Q0SkhJNyIsInciOjc0OCwiaCI6NDY0LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NDA1OTE3NTMzODAzNjcxMDQ0MH0
61321504,Seoul,0.89,eyJpZCI6IllCSzdJVUNBU1gySlhJUkQ1QTRNM1VBT1FJMzZHRiIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6Mjc0NDE4ODQ0ODIxNjg2OTU4OH0
61321504,Seoul,0.89,eyJpZCI6Ijc3SUNGRllTVU1TN0xON0kyRElYVDNNV0FWUEdQQiIsInciOjc0OCwiaCI6NTYyLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NzQ0NzIxNDg1MTQ3OTcwNDEzOX0
61321504,Seoul,0.89,eyJpZCI6IlRUREtNV042SzZXVURCQUM1NU9aWDJCUkRaQ09HMiIsInciOjc0OCwiaCI6NDIwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NjU3OTYzMTQ0MTIyOTM2NzI0M30
2378113,Seoul,0.89,eyJpZCI6Iko0VU83WFlCV0dCQ1hVSFlNNkdHNUNaMzJLQVFOViIsInciOjc1MCwiaCI6NzQ2LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NTQ5OTY0NDU1MTIxOTA5NjQ1NX0
2378113,Seoul,0.89,eyJpZCI6IjdXNEtLUFI3RFBCQko3SzZEUENPMkJRSVZUVjdSWCIsInciOjc0OCwiaCI6NzQ4LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTY4MzI2NzM3NzI0NDAyMTExNjN9
2378113,Seoul,0.89,eyJpZCI6IktJMlZHVzI3SjYzSklUMlU3WEpESUNDNFBIRlpWVCIsInciOjc0OCwiaCI6NzQ4LCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6MTA1NzA1OTU0OTM3Mzk0NzQ0OTR9
1744566,Seoul,0.89,eyJpZCI6IjZZNERXUE5PVjRPSVNLS1NVU0lHU0lMWTRJRFFGRSIsInciOjc1MCwiaCI6NzUwLCJkIjowLCJtdCI6ImltYWdlL2pwZWciLCJkaCI6NTk1NTYzNTExMzAwNzY5NzA1OH0
